sample_id	MT	unmapped
fafq_C_ATAC	0.30021860789046	0.0655302836770317
fafq_D_ATAC	0.169076649746682	0.0268246935841931
fikt_A_ATAC	0.508799760053343	0.000862320777261467
fikt_B_ATAC	0.0983676687208666	0.000650607580815181
hehd_C_ATAC	0.336370997475494	0.0462047081562826
hehd_D_ATAC	0.248352910302544	0.0271966360918984
guss_A_ATAC	0.494860335772296	0.000307483959238187
guss_B_ATAC	0.379210131646741	0.000399474794448165
guss_C_ATAC	0.299400560080146	0.0326941305675086
guss_D_ATAC	0.356285810649081	0.0153072345961223
hayt_A_ATAC	0.315747529329782	0.000432491199322904
hayt_B_ATAC	0.16058551949294	0.000373640277069597
hayt_C_ATAC	0.341879197835603	0.0504133999159667
hayt_D_ATAC	0.309818415540119	0.0246250777518773
