sample_id	lanelet_id	sequencescape_id	sanger_id	diff_start	salmonella_date	accession	full_name
voas_D	15326_5#12	2192913	voas_D	2014-10-16	2014-11-26	SAMEA103885201	HPSI0813i-voas_2 derived macrophage day 41 with salmonella and IFNg
zuta_A	15326_5#1	2192902	vorx_A	2014-10-20	2014-11-20	SAMEA103884922	HPSI1113i-zuta_1 derived macrophage day 31 untreated
zuta_B	15326_5#2	2192903	vorx_B	2014-10-20	2014-11-20	SAMEA103885149	HPSI1113i-zuta_1 derived macrophage day 31 with IFNg
zuta_C	15326_5#3	2192904	vorx_C	2014-10-20	2014-11-20	SAMEA103885363	HPSI1113i-zuta_1 derived macrophage day 31 with salmonella
zuta_D	15326_5#4	2192905	vorx_D	2014-10-20	2014-11-20	SAMEA103885166	HPSI1113i-zuta_1 derived macrophage day 31 with salmonella and IFNg
yuze_A	15223_4#9	2176566	yuze_A	2014-07-11	2014-08-22	SAMEA103885023	HPSI0413i-yuze_1 derived macrophage day 42 untreated
yuze_B	15223_4#10	2176567	yuze_B	2014-07-11	2014-08-22	SAMEA103885216	HPSI0413i-yuze_1 derived macrophage day 42 with IFNg
yuze_C	15223_4#11	2176568	yuze_C	2014-07-11	2014-08-22	SAMEA103885096	HPSI0413i-yuze_1 derived macrophage day 42 with salmonella
yuze_D	15223_4#12	2176569	yuze_D	2014-07-11	2014-08-22	SAMEA103885071	HPSI0413i-yuze_1 derived macrophage day 42 with salmonella and IFNg
zisa_A	15367_2#13	2176546	zisa_A	2014-05-22	2014-07-15	SAMEA103885287	HPSI0613i-zisa_3 derived macrophage day 54 untreated
zisa_B	15367_2#14	2176547	zisa_B	2014-05-22	2014-07-15	SAMEA103884974	HPSI0613i-zisa_3 derived macrophage day 54 with IFNg
zisa_C	15367_2#15	2176548	zisa_C	2014-05-22	2014-07-15	SAMEA103885178	HPSI0613i-zisa_3 derived macrophage day 54 with salmonella
zisa_D	15367_2#16	2176549	zisa_D	2014-05-22	2014-07-15	SAMEA103885140	HPSI0613i-zisa_3 derived macrophage day 54 with salmonella and IFNg
vorx_A	15326_1#13	2192890	zuta_A	2014-10-10	2014-11-20	SAMEA103884993	HPSI0613i-vorx_1 derived macrophage day 41 untreated
vorx_B	15326_1#14	2192891	zuta_B	2014-10-10	2014-11-20	SAMEA103884935	HPSI0613i-vorx_1 derived macrophage day 41 with IFNg
vorx_C	15326_1#15	2192892	zuta_C	2014-10-10	2014-11-20	SAMEA103885039	HPSI0613i-vorx_1 derived macrophage day 41 with salmonella
vorx_D	15326_1#16	2192893	zuta_D	2014-10-10	2014-11-20	SAMEA103884959	HPSI0613i-vorx_1 derived macrophage day 41 with salmonella and IFNg
eofe_A	16596_2#6	2287965	3226STDY6100810	2014-11-01	2014-12-12	SAMEA103885254	HPSI1113i-eofe_1 derived macrophage day 41 untreated
eofe_B	16596_2#7	2287966	3226STDY6100811	2014-11-01	2014-12-12	SAMEA103885033	HPSI1113i-eofe_1 derived macrophage day 41 with IFNg
eofe_C	16596_2#8	2287967	3226STDY6100812	2014-11-01	2014-12-12	SAMEA103885051	HPSI1113i-eofe_1 derived macrophage day 41 with salmonella
eofe_D	16667_1#9	2287968	3226STDY6100813	2014-11-01	2014-12-12	SAMEA103884917	HPSI1113i-eofe_1 derived macrophage day 41 with salmonella and IFNg
jorr_A	16596_2#10	2287969	3226STDY6100814	2014-11-04	2014-12-12	SAMEA103885206	HPSI0613i-jorr_1 derived macrophage day 38 untreated
jorr_B	16596_2#11	2287970	3226STDY6100815	2014-11-04	2014-12-12	SAMEA103885405	HPSI0613i-jorr_1 derived macrophage day 38 with IFNg
jorr_C	16596_2#12	2287971	3226STDY6100816	2014-11-04	2014-12-12	SAMEA103885379	HPSI0613i-jorr_1 derived macrophage day 38 with salmonella
jorr_D	16596_2#13	2287972	3226STDY6100817	2014-11-04	2014-12-12	SAMEA103885019	HPSI0613i-jorr_1 derived macrophage day 38 with salmonella and IFNg
bima_A	16596_2#14	2287973	3226STDY6100818	2014-11-07	2014-12-12	SAMEA103885122	HPSI1113i-bima_1 derived macrophage day 35 untreated
bima_B	16596_2#15	2287974	3226STDY6100819	2014-11-07	2014-12-12	SAMEA103885158	HPSI1113i-bima_1 derived macrophage day 35 with IFNg
bima_C	16596_2#16	2287975	3226STDY6100820	2014-11-07	2014-12-12	SAMEA103885174	HPSI1113i-bima_1 derived macrophage day 35 with salmonella
bima_D	16596_2#17	2287976	3226STDY6100821	2014-11-07	2014-12-12	SAMEA103885085	HPSI1113i-bima_1 derived macrophage day 35 with salmonella and IFNg
euir_A	16596_2#18	2287977	3226STDY6100822	2014-11-04	2014-12-05	SAMEA103885034	HPSI0513i-euir_2 derived macrophage day 31 untreated
euir_B	16596_2#19	2287978	3226STDY6100823	2014-11-04	2014-12-05	SAMEA103885365	HPSI0513i-euir_2 derived macrophage day 31 with IFNg
euir_C	16667_1#20	2287979	3226STDY6100824	2014-11-04	2014-12-05	SAMEA103885163	HPSI0513i-euir_2 derived macrophage day 31 with salmonella
euir_D	16667_1#21	2287980	3226STDY6100825	2014-11-04	2014-12-05	SAMEA103885181	HPSI0513i-euir_2 derived macrophage day 31 with salmonella and IFNg
auim_A	16596_2#22	2287981	3226STDY6100826	2014-10-16	2014-11-20	SAMEA103885018	HPSI0613i-auim_2 derived macrophage day 35 untreated
auim_B	16596_2#23	2287982	3226STDY6100827	2014-10-16	2014-11-20	SAMEA103884934	HPSI0613i-auim_2 derived macrophage day 35 with IFNg
auim_C	16596_2#24	2287983	3226STDY6100828	2014-10-16	2014-11-20	SAMEA103885279	HPSI0613i-auim_2 derived macrophage day 35 with salmonella
auim_D	16596_2#25	2287984	3226STDY6100829	2014-10-16	2014-11-20	SAMEA103884965	HPSI0613i-auim_2 derived macrophage day 35 with salmonella and IFNg
meqo_A	16596_2#26	2287985	3226STDY6100830	2014-10-20	2014-11-20	SAMEA103884870	HPSI0813i-meqo_3 derived macrophage day 31 untreated
meqo_B	16596_2#27	2287986	3226STDY6100831	2014-10-20	2014-11-20	SAMEA103885389	HPSI0813i-meqo_3 derived macrophage day 31 with IFNg
meqo_C	16596_2#28	2287987	3226STDY6100832	2014-10-20	2014-11-20	SAMEA103885138	HPSI0813i-meqo_3 derived macrophage day 31 with salmonella
meqo_D	16596_2#29	2287988	3226STDY6100833	2014-10-20	2014-11-20	SAMEA103884988	HPSI0813i-meqo_3 derived macrophage day 31 with salmonella and IFNg
cups_A	16596_2#30	2287989	3226STDY6100834	2015-02-27	2015-04-08	SAMEA103885092	HPSI1013i-cups_3 derived macrophage day 40 untreated
cups_B	16596_2#31	2287990	3226STDY6100835	2015-02-27	2015-04-08	SAMEA103885411	HPSI1013i-cups_3 derived macrophage day 40 with IFNg
cups_C	16667_1#32	2287991	3226STDY6100836	2015-02-27	2015-04-08	SAMEA103885208	HPSI1013i-cups_3 derived macrophage day 40 with salmonella
cups_D	16596_2#33	2287992	3226STDY6100837	2015-02-27	2015-04-08	SAMEA103884946	HPSI1013i-cups_3 derived macrophage day 40 with salmonella and IFNg
uimo_A	16596_2#34	2287993	3226STDY6100838	2015-02-24	2015-04-01	SAMEA103885377	HPSI0713i-uimo_1 derived macrophage day 36 untreated
