sample_id	lanelet_id	sequencescape_id	sanger_id	diff_start	atac_date	accession	full_name
fafq_C_ATAC	18913_1#31	2484149	3226STDY6277565	2015-09-16	2015-10-14	SAMEA103885372	HPSI0314i-fafq_1 derived macrophage day 28 with salmonella
fafq_D_ATAC	18913_1#22	2484148	3226STDY6277564	2015-09-16	2015-10-14	SAMEA103885333	HPSI0314i-fafq_1 derived macrophage day 28 with salmonella and IFNg
fikt_A_ATAC	18913_1#49	2484167	3226STDY6277583	2015-10-03	2015-11-05	SAMEA103885368	HPSI0114i-fikt_3 derived macrophage day 33 untreated
fikt_B_ATAC	18913_1#41	2484166	3226STDY6277582	2015-10-03	2015-11-05	SAMEA103885218	HPSI0114i-fikt_3 derived macrophage day 33 with IFNg
hehd_C_ATAC	18913_1#65	2484169	3226STDY6277585	2015-09-30	2015-11-05	SAMEA103884886	HPSI1213i-hehd_2 derived macrophage day 36 with salmonella
hehd_D_ATAC	18913_1#57	2484168	3226STDY6277584	2015-09-30	2015-11-05	SAMEA103885118	HPSI1213i-hehd_2 derived macrophage day 36 with salmonella and IFNg
guss_A_ATAC	18913_1#18	2484187	3226STDY6277603	2015-10-16	2015-11-18	SAMEA103885196	HPSI0813i-guss_1 derived macrophage day 33 untreated
guss_B_ATAC	18913_1#9	2484186	3226STDY6277602	2015-10-16	2015-11-18	SAMEA103885094	HPSI0813i-guss_1 derived macrophage day 33 with IFNg
guss_C_ATAC	18913_1#36	2484189	3226STDY6277605	2015-10-16	2015-11-18	SAMEA103885288	HPSI0813i-guss_1 derived macrophage day 33 with salmonella
guss_D_ATAC	18913_1#27	2484188	3226STDY6277604	2015-10-16	2015-11-18	SAMEA103885054	HPSI0813i-guss_1 derived macrophage day 33 with salmonella and IFNg
hayt_A_ATAC	18913_1#12	2484139	3226STDY6277555	2015-09-12	2015-10-09	SAMEA103885095	HPSI1113i-hayt_1 derived macrophage day 27 untreated
hayt_B_ATAC	18913_1#3	2484138	3226STDY6277554	2015-09-12	2015-10-09	SAMEA103885198	HPSI1113i-hayt_1 derived macrophage day 27 with IFNg
hayt_C_ATAC	18913_1#30	2484141	3226STDY6277557	2015-09-12	2015-10-09	SAMEA103884916	HPSI1113i-hayt_1 derived macrophage day 27 with salmonella
hayt_D_ATAC	18913_1#21	2484140	3226STDY6277556	2015-09-12	2015-10-09	SAMEA103884875	HPSI1113i-hayt_1 derived macrophage day 27 with salmonella and IFNg
hehd_A_ATAC	18913_1#16	2484171	3226STDY6277587	2015-09-30	2015-11-05	SAMEA103884877	HPSI1213i-hehd_2 derived macrophage day 36 untreated
hehd_B_ATAC	18913_1#7	2484170	3226STDY6277586	2015-09-30	2015-11-05	SAMEA103885114	HPSI1213i-hehd_2 derived macrophage day 36 with IFNg
fikt_C_ATAC	18913_1#34	2484173	3226STDY6277589	2015-10-03	2015-11-05	SAMEA103885319	HPSI0114i-fikt_3 derived macrophage day 33 with salmonella
fikt_D_ATAC	18913_1#25	2484172	3226STDY6277588	2015-10-03	2015-11-05	SAMEA103885004	HPSI0114i-fikt_3 derived macrophage day 33 with salmonella and IFNg
iill_A_ATAC	18913_1#50	2484175	3226STDY6277591	2015-09-27	2015-11-05	SAMEA103885229	HPSI0813i-iill_1 derived macrophage day 39 untreated
iill_B_ATAC	18913_1#42	2484174	3226STDY6277590	2015-09-27	2015-11-05	SAMEA103885126	HPSI0813i-iill_1 derived macrophage day 39 with IFNg
iill_C_ATAC	18913_1#66	2484177	3226STDY6277593	2015-09-27	2015-11-05	SAMEA103885331	HPSI0813i-iill_1 derived macrophage day 39 with salmonella
iill_D_ATAC	18913_1#58	2484176	3226STDY6277592	2015-09-27	2015-11-05	SAMEA103884954	HPSI0813i-iill_1 derived macrophage day 39 with salmonella and IFNg
nukw_A_ATAC	18913_1#14	2484155	3226STDY6277571	2015-09-23	2015-10-27	SAMEA103885040	HPSI0613i-nukw_1 derived macrophage day 34 untreated
nukw_B_ATAC	18913_1#5	2484154	3226STDY6277570	2015-09-23	2015-10-27	SAMEA103885165	HPSI0613i-nukw_1 derived macrophage day 34 with IFNg
nukw_C_ATAC	18913_1#32	2484157	3226STDY6277573	2015-09-23	2015-10-27	SAMEA103884970	HPSI0613i-nukw_1 derived macrophage day 34 with salmonella
nukw_D_ATAC	18913_1#23	2484156	3226STDY6277572	2015-09-23	2015-10-27	SAMEA103884928	HPSI0613i-nukw_1 derived macrophage day 34 with salmonella and IFNg
oevr_A_ATAC	18913_1#46	2484143	3226STDY6277559	2015-08-30	2015-10-09	SAMEA103885041	HPSI0114i-oevr_3 derived macrophage day 40 untreated
oevr_B_ATAC	18913_1#38	2484142	3226STDY6277558	2015-08-30	2015-10-09	SAMEA103885242	HPSI0114i-oevr_3 derived macrophage day 40 with IFNg
oevr_C_ATAC	18913_1#62	2484145	3226STDY6277561	2015-08-30	2015-10-09	SAMEA103885176	HPSI0114i-oevr_3 derived macrophage day 40 with salmonella
oevr_D_ATAC	18913_1#54	2484144	3226STDY6277560	2015-08-30	2015-10-09	SAMEA103884984	HPSI0114i-oevr_3 derived macrophage day 40 with salmonella and IFNg
qaqx_A_ATAC	18913_1#52	2484191	3226STDY6277607	2015-10-01	2015-11-18	SAMEA103885262	HPSI0314i-qaqx_1 derived macrophage day 48 untreated
qaqx_B_ATAC	18913_1#44	2484190	3226STDY6277606	2015-10-01	2015-11-18	SAMEA103885228	HPSI0314i-qaqx_1 derived macrophage day 48 with IFNg
qaqx_C_ATAC	18913_1#68	2484193	3226STDY6277609	2015-10-01	2015-11-18	SAMEA103885308	HPSI0314i-qaqx_1 derived macrophage day 48 with salmonella
qaqx_D_ATAC	18913_1#60	2484192	3226STDY6277608	2015-10-01	2015-11-18	SAMEA103884949	HPSI0314i-qaqx_1 derived macrophage day 48 with salmonella and IFNg
qolg_A_ATAC	18913_1#51	2484183	3226STDY6277599	2015-10-10	2015-11-13	SAMEA103884980	HPSI1113i-qolg_3 derived macrophage day 34 untreated
qolg_B_ATAC	18913_1#43	2484182	3226STDY6277598	2015-10-10	2015-11-13	SAMEA103885024	HPSI1113i-qolg_3 derived macrophage day 34 with IFNg
