sample_id	lanelet_id	sequencescape_id	sanger_id	diff_start	acLDL_date	accession	full_name
IICQ_24h_AcLDL	16437_5#8	2288281	IPSC-M-CV6101105	2015-02-26	2015-04-07	SAMEA103884930	HPSI0813i-iicq_1 derived macrophage day 40 with LDL
IICQ_24h_Ctrl	16437_5#7	2288280	IPSC-M-CV6101104	2015-02-26	2015-04-07	SAMEA103884897	HPSI0813i-iicq_1 derived macrophage day 40 untreated
NIBO_24h_AcLDL	16437_5#10	2288283	IPSC-M-CV6101107	2015-02-02	2015-03-17	SAMEA103885063	HPSI1113i-nibo_2 derived macrophage day 43 with LDL
NIBO_24h_Ctrl	16437_5#9	2288282	IPSC-M-CV6101106	2015-02-02	2015-03-17	SAMEA103885200	HPSI1113i-nibo_2 derived macrophage day 43 untreated
NUSW_24h_AcLDL	16437_5#16	2288289	IPSC-M-CV6101113	2015-02-23	2015-04-07	SAMEA103885285	HPSI1213i-nusw_2 derived macrophage day 43 with LDL
NUSW_24h_Ctrl	16437_5#15	2288288	IPSC-M-CV6101112	2015-02-23	2015-04-07	SAMEA103885031	HPSI1213i-nusw_2 derived macrophage day 43 untreated
PIUN_24h_AcLDL	16437_5#12	2288285	IPSC-M-CV6101109	2015-01-31	2015-03-17	SAMEA103884975	HPSI0813i-piun_3 derived macrophage day 45 with LDL
PIUN_24h_Ctrl	16437_5#11	2288284	IPSC-M-CV6101108	2015-01-31	2015-03-17	SAMEA103884963	HPSI0813i-piun_3 derived macrophage day 45 untreated
UIMO_24h_AcLDL	16437_5#14	2288287	IPSC-M-CV6101111	2015-02-24	2015-03-31	SAMEA103885209	HPSI0713i-uimo_1 derived macrophage day 35 with LDL
UIMO_24h_Ctrl	16437_5#13	2288286	IPSC-M-CV6101110	2015-02-24	2015-03-31	SAMEA103885105	HPSI0713i-uimo_1 derived macrophage day 35 untreated
UAHF_24h_Ctrl	16823_1#1	2309473	IPSC-M-CV6118827	2014-10-03	2014-11-17	SAMEA103885146	HPSI0413i-uahf_3 derived macrophage day 45 untreated
UAHF_24h_AcLDL	16823_1#2	2309474	IPSC-M-CV6118828	2014-10-03	2014-11-17	SAMEA103885065	HPSI0413i-uahf_3 derived macrophage day 45 with LDL
IEKI_24h_Ctrl	16823_1#3	2309475	IPSC-M-CV6118829	2015-03-02	2015-04-16	SAMEA103885089	HPSI1113i-ieki_2 derived macrophage day 45 untreated
IEKI_24h_AcLDL	16823_1#4	2309476	IPSC-M-CV6118830	2015-03-02	2015-04-16	SAMEA103884939	HPSI1113i-ieki_2 derived macrophage day 45 with LDL
CICB_24h_Ctrl	16823_1#5	2309477	IPSC-M-CV6118831	2015-03-30	2015-04-28	SAMEA103885204	HPSI0713i-cicb_3 derived macrophage day 29 untreated
CICB_24h_AcLDL	16823_1#6	2309478	IPSC-M-CV6118832	2015-03-30	2015-04-28	SAMEA103884932	HPSI0713i-cicb_3 derived macrophage day 29 with LDL
OEFG_24h_Ctrl	16823_1#7	2309479	IPSC-M-CV6118833	2015-03-20	2015-04-28	SAMEA103885194	HPSI0613i-oefg_2 derived macrophage day 39 untreated
OEFG_24h_AcLDL	16823_1#8	2309480	IPSC-M-CV6118834	2015-03-20	2015-04-28	SAMEA103885070	HPSI0613i-oefg_2 derived macrophage day 39 with LDL
