sample	donor	flow_date	mean1	mean2	sigmasq1	sigmasq2	channel	purity
coxy_280814	coxy	2014-08-28	0.725625472866635	2.3804756225635	0.0339145158127369	0.0441093812277449	APC.A	0.993666877770741
coxy_280814	coxy	2014-08-28	1.08941721780266	2.20993810606266	0.0514418216758939	0.181740746433533	PE.A	0.993983533882204
coxy_280814	coxy	2014-08-28	1.05297085287906	2.32217438490742	0.0514605876256154	0.0618593608298846	Pacific.Blue.A	0.991608613046232
coyi_031115	coyi	2015-11-03	1.30183569399816	2.14157341459762	0.0556649554699209	0.0492814491816363	APC.A	0.982575551320446
coyi_031115	coyi	2015-11-03	1.29071559599138	2.6959871764617	0.0551000552341169	0.177279557765242	PE.A	0.984481350394773
coyi_031115	coyi	2015-11-03	1.14701425917754	2.39727679551377	0.050508870460257	0.024596294077907	Pacific.Blue.A	0.983256193846992
cuau_291014	cuau	2014-10-29	0.815468406152229	2.75950613063694	0.0496109721138637	0.0851104986662154	APC.A	0.98017585931255
cuau_291014	cuau	2014-10-29	0.994768015390476	3.11440397970297	0.0455921943288155	0.120101176045716	PE.A	0.989448441247002
cuau_291014	cuau	2014-10-29	1.1140224472235	2.53218018486283	0.0612082627422716	0.0550779246546568	Pacific.Blue.A	0.98625099920064
cups_130415	cups	2015-04-13	0.830829579746573	2.35962627044301	0.0477217155722786	0.0484296550103072	APC.A	0.978835978835979
cups_130415	cups	2015-04-13	1.18544012378286	2.43601640180443	0.0635742486145077	0.166399368977091	PE.A	0.976686507936508
cups_130415	cups	2015-04-13	1.22096308927877	2.59770660206201	0.0547419924653271	0.0233468088372614	Pacific.Blue.A	0.977843915343915
darw_291014	darw	2014-10-29	0.994346065777441	2.71442291861795	0.0593857187521722	0.0559053457299946	APC.A	0.990918264379415
darw_291014	darw	2014-10-29	1.22752105390505	3.33701772437819	0.0445742883427162	0.1121033976566	PE.A	0.989236461486714
darw_291014	darw	2014-10-29	1.29791265492044	2.29244615502931	0.0638512862451136	0.041455483821968	Pacific.Blue.A	0.988227379751093
debk_211114	debk	2014-11-21	1.32375285979699	2.80488310709033	0.0885868165631806	0.0598542683933678	APC.A	0.959540096055887
debk_211114	debk	2014-11-21	1.20308980618179	3.13680507349616	0.0788533243570858	0.104004523391591	PE.A	0.953281909474603
debk_211114	debk	2014-11-21	1.79235059288715	2.78434985890662	0.0246251281064113	0.0386886360767979	Pacific.Blue.A	0.94178431087178
debk_271114	debk	2014-11-27	1.02998246311746	2.34317858938308	0.0581884778304959	0.0442066700467983	APC.A	0.972025615099427
debk_271114	debk	2014-11-27	1.36930447031707	3.22394356025867	0.0542804224401761	0.0868513695364899	PE.A	0.970340411189754
debk_271114	debk	2014-11-27	1.46239023939084	2.4243387890534	0.0625420640020572	0.042021089389807	Pacific.Blue.A	0.96309403437816
diku_171115	diku	2015-11-17	1.13975302167817	2.26031015184731	0.0682244807152358	0.0726606914352288	APC.A	0.993959731543624
diku_171115	diku	2015-11-17	1.31826614322492	3.43577798720436	0.0625110852061534	0.121636881535932	PE.A	0.990335570469799
diku_171115	diku	2015-11-17	1.44250626363332	2.64828401817199	0.0624558367078816	0.0302774309326157	Pacific.Blue.A	0.990872483221476
eika_130415	eika	2015-04-13	1.2281032417397	2.5876126185163	0.082805993626861	0.0451800096532459	APC.A	0.966548157724628
eika_130415	eika	2015-04-13	1.44089291652001	2.93284790576778	0.0852292582790429	0.143686665931666	PE.A	0.96961861667744
eika_130415	eika	2015-04-13	1.63733834125181	2.43217713756808	0.114520706228121	0.0302891614705052	Pacific.Blue.A	0.952327084680026
eipl_050815	eipl	2015-08-05	1.36199208760944	2.8208433393192	0.0745251985835854	0.0497311826601655	APC.A	0.987294865007941
eipl_050815	eipl	2015-08-05	1.30030830863733	2.65047892512541	0.0660592832469497	0.208621660607282	PE.A	0.973001588141874
eipl_050815	eipl	2015-08-05	1.79663768119075	2.79346715466934	0.061949109085287	0.0480454178343489	Pacific.Blue.A	0.983059820010588
eipl_300715	eipl	2015-07-30	1.52615252547998	2.82161471511343	0.110653710373205	0.0434543552709341	APC.A	0.961858664085189
eipl_300715	eipl	2015-07-30	1.43193870412356	2.91334805661563	0.102839367112612	0.134867930922676	PE.A	0.951403678606002
eipl_300715	eipl	2015-07-30	1.69738143699503	2.50720153651177	0.107927410121142	0.0303349232831141	Pacific.Blue.A	0.932236205227493
eiwy_271115	eiwy	2015-11-27	1.33628692140799	2.27405089073778	0.0770827742505881	0.0640680072712482	APC.A	0.974628879892038
eiwy_271115	eiwy	2015-11-27	1.02476020388856	2.76434960920596	0.0557906864275693	0.21367371235697	PE.A	0.98502024291498
eiwy_271115	eiwy	2015-11-27	1.67616777691795	2.69136813545859	0.0603226042120429	0.0524467584275538	Pacific.Blue.A	0.979352226720648
eofe_041214	eofe	2014-12-04	0.89004953651579	2.42829669572698	0.0650170752121277	0.0492401164100695	APC.A	0.979617478710038
eofe_041214	eofe	2014-12-04	1.18111106538158	3.06393204280603	0.0956328985697222	0.122125214582917	PE.A	0.974172832612034
eofe_041214	eofe	2014-12-04	1.08840035922046	2.58845147789212	0.0844820536463634	0.0317914203109839	Pacific.Blue.A	0.977662990367165
eojr_050515	eojr	2015-05-05	1.34683317663944	2.78840674773317	0.0675625648056432	0.032841580646	APC.A	0.990890390831619
eojr_050515	eojr	2015-05-05	1.32248453078695	2.95931834716035	0.0618601956748611	0.150329606394991	PE.A	0.985454011166618
eojr_050515	eojr	2015-05-05	1.71139231178258	2.59413835624973	0.0677742699910922	0.0465636222316222	Pacific.Blue.A	0.982074640023509
euir_041214	euir	2014-12-04	0.971288154181879	2.45443486143686	0.0517412848748891	0.0374710750186442	APC.A	0.990903922683343
euir_041214	euir	2014-12-04	1.25999898746151	2.46443980838953	0.0627806255898195	0.184362406480881	PE.A	0.986924388857305
euir_041214	euir	2014-12-04	1.21024455699249	2.3775658155678	0.0582435678471474	0.0299388606132935	Pacific.Blue.A	0.984508243320068
fafq_161015	fafq	2015-10-16	1.71896361834543	2.42569522515158	0.0840170552493302	0.055999797145377	APC.A	0.99293893129771
fafq_161015	fafq	2015-10-16	1.51045118768198	1.79625001904789	0.0354290192494973	0.165936472614309	PE.A	0.999045801526718
fafq_161015	fafq	2015-10-16	1.90110740714862	2.33178498397833	0.077660240008113	0.0230056706896794	Pacific.Blue.A	0.944465648854962
febc_050815	febc	2015-08-05	1.33179791713306	2.80559946645386	0.0746628333337656	0.0459264109298244	APC.A	0.975508796136599
febc_050815	febc	2015-08-05	1.21509431444205	2.81015856108488	0.0603152247031015	0.134189673531358	PE.A	0.97464642980338
febc_050815	febc	2015-08-05	1.71363181079204	2.86202967278847	0.058086729450333	0.0351554631781198	Pacific.Blue.A	0.971541911003794
ffdk_200514	ffdk	2014-05-20	1.43312759721642	2.50951216274025	0.0740695190319297	0.0551014094012116	APC.A	0.818939955522609
ffdk_200514	ffdk	2014-05-20	1.40475680397074	3.04174703449274	0.0597377713531702	0.0894203735988196	PE.A	0.822090437361008
ffdk_200514	ffdk	2014-05-20	1.46582735159388	2.60910619815522	0.189812638887221	0.0331803050215055	Pacific.Blue.A	0.812268346923647
ffdm_291014	ffdm	2014-10-29	0.941668101947204	2.51932618034723	0.0658782707124029	0.102374303025633	APC.A	0.969935431799839
ffdm_291014	ffdm	2014-10-29	1.08926574209812	2.54904510104538	0.0613806056472269	0.169022775291872	PE.A	0.986077481840194
ffdm_291014	ffdm	2014-10-29	1.220672637168	2.34291334384926	0.0691748254614704	0.0319308792245532	Pacific.Blue.A	0.972962066182405
fikt_031115	fikt	2015-11-03	1.38436263636149	2.06777266735041	0.0781036207379846	0.0524781207327167	APC.A	0.982115624566754
fikt_031115	fikt	2015-11-03	1.13153528686304	2.66473443872144	0.0582639362888	0.181661150337726	PE.A	0.982392901705254
fikt_031115	fikt	2015-11-03	1.06000403027042	2.4135635138002	0.0560390761469468	0.0264013743111365	Pacific.Blue.A	0.993622625814502
fpdj_041214	fpdj	2014-12-04	0.776917906972573	2.34206357118877	0.0452098815636844	0.0483252719965658	APC.A	0.992598684210526
fpdj_041214	fpdj	2014-12-04	1.16143815020138	2.14370229798557	0.109597098347651	0.155886966561031	PE.A	0.983552631578947
fpdj_041214	fpdj	2014-12-04	0.966546200919277	2.05627807274153	0.0845792321215324	0.0575610450961569	Pacific.Blue.A	0.983415570175439
fpdj_190914	fpdj	2014-09-19	0.814383136968986	2.43315361961927	0.0760546624402754	0.0553996654720554	APC.A	0.992493472584856
fpdj_190914	fpdj	2014-09-19	1.01814226577155	2.75338660961652	0.105213193712547	0.175079945323878	PE.A	0.987597911227154
fpdj_190914	fpdj	2014-09-19	1.16677745365665	2.33397491678355	0.0865865368142329	0.0619265604155911	Pacific.Blue.A	0.9802545691906
fpdj_200514	fpdj	2014-05-20	1.38548529596295	2.62937026779866	0.0455655564038331	0.0686108565428311	APC.A	0.722292191435768
fpdj_200514	fpdj	2014-05-20	1.17461800635098	3.24682446930033	0.145161150942129	0.0780486536879074	PE.A	0.718303946263644
fpdj_200514	fpdj	2014-05-20	1.40568023150386	2.77532733872863	0.136560534636101	0.0341146643795606	Pacific.Blue.A	0.71431570109152
fpdl_200514	fpdl	2014-05-20	1.24756923608439	2.63807348148242	0.0815008579846978	0.0675586485223623	APC.A	0.96490956871232
fpdl_200514	fpdl	2014-05-20	1.22333069735895	2.87257637615707	0.072823534581589	0.103198485696678	PE.A	0.964136651723605
fpdl_200514	fpdl	2014-05-20	1.44611192816322	2.64020655932593	0.0544256123343914	0.0304625114434551	Pacific.Blue.A	0.968464986860411
fpdl_291014	fpdl	2014-10-29	1.05455314407828	2.43937263678184	0.0692789721101423	0.142791761781372	APC.A	0.981208324914124
fpdl_291014	fpdl	2014-10-29	1.19936510460397	2.64125179249864	0.066305518471211	0.369454719872566	PE.A	0.996969084663568
fpdl_291014	fpdl	2014-10-29	1.3777760876091	2.28486101278103	0.0833450281073916	0.0997556670321315	Pacific.Blue.A	0.979389775712265
funp_280814	funp	2014-08-28	0.668806229449005	2.30314333472968	0.0373761288653304	0.0607470722923732	APC.A	0.983679525222552
funp_280814	funp	2014-08-28	1.0395471375527	2.61598575632396	0.048761180855394	0.182449259223498	PE.A	0.98381440517939
funp_280814	funp	2014-08-28	1.16205590831277	2.60276058724811	0.0452805052916793	0.0321267662662353	Pacific.Blue.A	0.974912328028055
gedo_190914	gedo	2014-09-19	0.969334355954572	2.85239755299495	0.122831340281887	0.0890297023097742	APC.A	0.844283593170007
gedo_190914	gedo	2014-09-19	1.15521996387583	3.19413972427579	0.115296520699504	0.148812760158262	PE.A	0.847438752783964
gedo_190914	gedo	2014-09-19	1.21454498850867	1.92918464110947	0.16171168951861	0.143247548888217	Pacific.Blue.A	0.949517446176689
giuo_111114	giuo	2014-11-11	0.900511452086073	2.50228752604015	0.0574106340015338	0.0397393634749809	APC.A	0.986060049019608
giuo_111114	giuo	2014-11-11	1.22363546616847	2.83531842246084	0.0647817578287346	0.162033088769503	PE.A	0.979013480392157
giuo_111114	giuo	2014-11-11	1.2604880294793	2.4987303963454	0.0660884695210649	0.0286475148770001	Pacific.Blue.A	0.986366421568627
golb_111114	golb	2014-11-11	1.10425793504843	2.33584582213572	0.174528011856264	0.0255578347948455	APC.A	0.787799706410047
golb_111114	golb	2014-11-11	1.37276718745677	3.56354526685246	0.13915092798552	0.0672261219471268	PE.A	0.788778339585712
golb_111114	golb	2014-11-11	1.48801649851923	2.68545497192232	0.187325668497879	0.0296515492139249	Pacific.Blue.A	0.77230468112869
gomv_291014	gomv	2014-10-29	0.998037801751612	2.77454838271423	0.0597237270128064	0.0788113861452962	APC.A	0.975932977913176
gomv_291014	gomv	2014-10-29	1.17758362327521	3.10937045993501	0.0511889649362506	0.120904402050235	PE.A	0.987661843107388
gomv_291014	gomv	2014-10-29	1.32748614553279	2.53706263759373	0.0569832040508377	0.0511384922999687	Pacific.Blue.A	0.983701447067784
guss_171115	guss	2015-11-17	1.03755835343788	2.16077636991232	0.0479341828274194	0.0693011451464634	APC.A	0.995698644421272
guss_171115	guss	2015-11-17	1.32388919852238	2.63100400441989	0.0483522022001401	0.183768549836641	PE.A	0.994655891553702
guss_171115	guss	2015-11-17	1.34708542984764	2.51209858553347	0.0472183574598651	0.046867803942104	Pacific.Blue.A	0.991136600625652
hayt_161015	hayt	2015-10-16	1.94029646799272	2.45752252125749	0.0659816943817214	0.0310777682858173	APC.A	0.945699564011098
hayt_161015	hayt	2015-10-16	0.554633257754592	1.94618175796026	0.0334740817402822	0.161478242549905	PE.A	0.974237019421324
