line_id,replicate,ips_received,ips_started,passage_received,received_as,media,EB_formation,passage_diff,diff_start,MF_harvest,salmonella,flow_date,medium_changes,terminated,extraction_date,rna_submit,library_pool,status,comment
debk_7,1,,06/10/2014,34,alive,KSR,13/10/2014,35,16/10/2014,19/11/2014,26/11/2014,27/11/2014,9,10/12/2014,07/12/2014,09/12/2014,3226_RNAseq-2_111214,Success,
ffdm_3,1,17/07/2014,18/08/2014,36,frozen,KSR,09/09/2014,39,12/09/2014,06/10/2014,13/10/2014,29/10/2014,,21/10/2014,04/12/2014,09/12/2014,3226_RNAseq-1_111214,Success,
fpdj_3,2,,03/10/2014,39,frozen,KSR,25/10/2014,42,29/10/2014,19/11/2014,26/11/2014,04/12/2014,,19/12/2014,07/12/2014,09/12/2014,3226_RNAseq-2_111214,Success,
oarz_2,2,,15/09/2014,36,frozen,KSR,03/10/2014,39,06/10/2014,30/10/2014,05/11/2014,11/11/2014,5,13/11/2014,06/11/2014,09/12/2014,3226_RNAseq-2_111214,Success,
oeoo_2,1,17/07/2014,29/07/2014,34,frozen,KSR,13/08/2014,36,16/08/2014,06/10/2014,13/10/2014,19/09/2014,5,28/10/2014,04/12/2014,09/12/2014,3226_RNAseq-1_111214,Success,
voas_2,1,,06/10/2014,37,alive,KSR,13/10/2014,38,16/10/2014,19/11/2014,26/11/2014,21/11/2014,10,10/12/2014,07/12/2014,09/12/2014,3226_RNAseq-2_111214,Success,
vorx_1,1,,10/10/2014,31,alive,KSR,16/10/2014,32,20/10/2014,14/11/2014,20/11/2014,21/11/2014,6,27/11/2014,25/11/2014,09/12/2014,3226_RNAseq-2_111214,Success,
zuta_1,1,,01/10/2014,40,alive,KSR,06/10/2014,41,10/10/2014,14/11/2014,20/11/2014,11/11/2014,7,25/11/2014,25/11/2014,09/12/2014,3226_RNAseq-1_111214,Success,
meqo_3,1,,10/10/2014,39,alive,KSR,16/10/2014,40,20/10/2014,14/11/2014,20/11/2014,27/11/2014,8,10/12/2014,04/12/2014,TBC,,Success,Not enough cells/RNA. Might still sequence.
auim_2,1,,10/10/2014,36,alive,KSR,13/10/2014,37,16/10/2014,14/11/2014,20/11/2014,21/11/2014,9,10/12/2014,04/12/2014,TBC,,Success,
bima_1,1,,24/10/2014,40,alive,E8,04/11/2014,42,07/11/2014,05/12/2014,12/12/2014,16/12/2014,6,19/12/2014,05/02/2015,TBC,,Success,
eofe_1,1,,24/10/2014,35,alive,KSR,29/10/2014,36,01/11/2014,05/12/2014,12/12/2014,04/12/2014,8,19/12/2014,05/02/2015,TBC,,Success,
euir_2,1,,24/10/2014,51,alive,KSR,31/10/2014,52,04/11/2014,28/11/2014,05/12/2014,04/12/2014,6,19/12/2014,08/12/2014,TBC,,Success,
jorr_1,1,,24/10/2014,47,alive,KSR,31/10/2014,48,04/11/2014,05/12/2014,12/12/2014,,8,19/12/2014,05/02/2015,TBC,,Success,
