sample_id	lanelet_id	sequencescape_id	sanger_id
ougl_C_2	16596_2#64	2288023	3226STDY6100868
ougl_D_2	16596_2#65	2288024	3226STDY6100869
nusw_A	16596_2#66	2288025	3226STDY6100870
nusw_B	16596_2#67	2288026	3226STDY6100871
nusw_C	16596_2#68	2288027	3226STDY6100872
nusw_D	16596_2#69	2288028	3226STDY6100873
oefg_A	16596_2#70	2288029	3226STDY6100874
oefg_B	16596_2#71	2288030	3226STDY6100875
oefg_C	16596_2#72	2288031	3226STDY6100876
oefg_D	16596_2#73	2288032	3226STDY6100877
eika_A	16667_1#74	2288033	3226STDY6100878
eika_B	16596_2#75	2288034	3226STDY6100879
eika_C	16596_2#76	2288035	3226STDY6100880
eika_D	16596_2#77	2288036	3226STDY6100881
pahc_A	16823_4#1	2306147	3226STDY6115636
pahc_B	16823_4#2	2306148	3226STDY6115637
pahc_C	16823_4#3	2306149	3226STDY6115638
pahc_D	16823_4#4	2306150	3226STDY6115639
wibj_A	16823_4#5	2306151	3226STDY6115640
wibj_B	16823_4#6	2306152	3226STDY6115641
wibj_C	16823_4#7	2306153	3226STDY6115642
wibj_D	16834_4#8	2306154	3226STDY6115643
xucm_A	16823_4#9	2306155	3226STDY6115644
xucm_B	16823_4#10	2306156	3226STDY6115645
xucm_C	16823_4#11	2306157	3226STDY6115646
xucm_D	16823_4#12	2306158	3226STDY6115647
eojr_A	16823_4#17	2306163	3226STDY6115652
eojr_B	16823_4#18	2306164	3226STDY6115653
eojr_C	16823_4#19	2306165	3226STDY6115654
eojr_D	16823_4#20	2306166	3226STDY6115655
sukz_A	16823_4#21	2306167	3226STDY6115656
sukz_B	16823_4#22	2306168	3226STDY6115657
sukz_C	16823_4#23	2306169	3226STDY6115658
sukz_D	16823_6#24	2306170	3226STDY6115659
kolf_A	16823_4#25	2306171	3226STDY6115660
kolf_B	16823_4#26	2306172	3226STDY6115661
kolf_C	16823_4#27	2306173	3226STDY6115662
kolf_D	16823_4#28	2306174	3226STDY6115663
veqz_A	16823_4#29	2306175	3226STDY6115664
veqz_B	16823_4#30	2306176	3226STDY6115665
veqz_C	16823_4#31	2306177	3226STDY6115666
veqz_D	16823_4#32	2306178	3226STDY6115667
joxm_A	16834_4#33	2306179	3226STDY6115668
joxm_B	16823_4#34	2306180	3226STDY6115669
joxm_C	16823_4#35	2306181	3226STDY6115670
joxm_D	16823_4#36	2306182	3226STDY6115671
bubh_A	16823_4#37	2306183	3226STDY6115672
bubh_B	16823_4#38	2306184	3226STDY6115673
bubh_C	16823_4#39	2306185	3226STDY6115674
bubh_D	16823_4#40	2306186	3226STDY6115675
iisa_A	16823_4#41	2306187	3226STDY6115676
iisa_B	16823_4#42	2306188	3226STDY6115677
iisa_C	16823_4#43	2306189	3226STDY6115678
iisa_D	16823_4#44	2306190	3226STDY6115679
ruyv_A	16823_4#45	2306191	3226STDY6115680
ruyv_B	16823_4#46	2306192	3226STDY6115681
ruyv_C	16823_4#47	2306193	3226STDY6115682
ruyv_D	16823_4#48	2306194	3226STDY6115683
podx_A	17982_2#1	2406724	3226STDY6202432
podx_B	17982_2#2	2406725	3226STDY6202433
podx_C	17982_2#3	2406726	3226STDY6202434
podx_D	17982_2#4	2406727	3226STDY6202435
eipl_A	18017_4#5	2406728	3226STDY6202436
eipl_B	17982_2#6	2406729	3226STDY6202437
eipl_C	17982_2#7	2406730	3226STDY6202438
eipl_D	17982_2#8	2406731	3226STDY6202439
heja_A	17982_2#9	2406732	3226STDY6202440
heja_B	17982_2#10	2406733	3226STDY6202441
heja_C	17982_2#11	2406734	3226STDY6202442
heja_D	17982_2#12	2406735	3226STDY6202443
hiaf_A	17982_2#13	2406736	3226STDY6202444
hiaf_B	17982_2#14	2406737	3226STDY6202445
hiaf_C	17982_2#15	2406738	3226STDY6202446
hiaf_D	17982_2#16	2406739	3226STDY6202447
febc_C	17982_2#17	2406740	3226STDY6202448
febc_B	18017_5#18	2406741	3226STDY6202449
febc_A	17982_2#19	2406742	3226STDY6202450
febc_D	17982_2#20	2406743	3226STDY6202451
pamv_A	17982_2#21	2406744	3226STDY6202452
pamv_B	18017_3#22	2406745	3226STDY6202453
pamv_C	17982_2#23	2406746	3226STDY6202454
pamv_D	17982_2#24	2406747	3226STDY6202455
kuxp_A	17982_2#25	2406748	3226STDY6202456
kuxp_B	17982_2#26	2406749	3226STDY6202457
kuxp_C	17982_2#27	2406750	3226STDY6202458
kuxp_D	17982_2#28	2406751	3226STDY6202459
xugn_A	17982_2#29	2406752	3226STDY6202460
xugn_B	17982_2#30	2406753	3226STDY6202461
xugn_C	18017_7#31	2406754	3226STDY6202462
xugn_D	17982_2#32	2406755	3226STDY6202463
oapg_A	17982_2#33	2406756	3226STDY6202464
oapg_B	18017_6#34	2406757	3226STDY6202465
oapg_C	17982_2#35	2406758	3226STDY6202466
oapg_D	17982_2#36	2406759	3226STDY6202467
pelm_A	17982_2#37	2406760	3226STDY6202468
