# fpdl and eofe samples were done with one well per condition, need to double the RNA concentration.
# gomv_3 D condition had 21.5 ul of RNA before measuring concentration, hence the very high value.
# aipt A was done on a different day, only use samples B-D to estimate mean concentration.
# oarz samples from 08/09/14 not sequenced, because oarz A was degraded.
# ffdk samples not sequenced, becuase of low purity (~80% CD14 positive)
# zuta 6/11/14 not submitted because of low RNA purity
# oeoo 22/9/14 not submitted because too high RNA concentration
# riiv and meqo not subimtted because of low concentration
# ieki A,B only one well per condition
# dium (ougl_X_2) 1 well per sample for all conditions
# ruyv_C concentration after clean-up, lost par of the sample (5/24/2015)
# pelm 1 well per sample
sample_name	sample_id	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
eojr C	eojr_C	Default	5/17/2015	3:42 PM	124.07	3.102	1.537	2.02	1.79	40.00	230	1.731	-0.009
eojr D	eojr_D	Default	5/17/2015	3:43 PM	96.01	2.400	1.157	2.07	2.16	40.00	230	1.112	-0.002
sukz A	sukz_A	Default	5/19/2015	9:02 PM	203.41	5.085	2.513	2.02	2.22	40.00	230	2.291	-0.005
sukz B	sukz_B	Default	5/19/2015	9:02 PM	256.46	6.411	3.147	2.04	2.21	40.00	230	2.905	-0.014
sukz C	sukz_C	Default	5/19/2015	9:03 PM	189.69	4.742	2.354	2.01	2.28	40.00	230	2.082	-0.013
sukz D	sukz_D	Default	5/19/2015	9:04 PM	203.93	5.098	2.516	2.03	2.22	40.00	230	2.293	-0.012
kolf A	kolf_A	Default	5/19/2015	9:05 PM	202.72	5.068	2.497	2.03	2.27	40.00	230	2.236	-0.016
kolf B	kolf_B	Default	5/19/2015	9:06 PM	238.37	5.959	2.953	2.02	2.27	40.00	230	2.627	-0.015
kolf C	kolf_C	Default	5/19/2015	9:06 PM	234.43	5.861	2.878	2.04	2.23	40.00	230	2.629	-0.008
kolf D	kolf_D	Default	5/19/2015	9:07 PM	188.32	4.708	2.326	2.02	2.28	40.00	230	2.061	-0.018
veqz A	veqz_A	Default	5/19/2015	9:08 PM	146.75	3.669	1.816	2.02	2.23	40.00	230	1.648	-0.012
veqz B	veqz_B	Default	5/19/2015	9:09 PM	201.68	5.042	2.500	2.02	2.27	40.00	230	2.218	-0.012
veqz C	veqz_C	Default	5/19/2015	9:09 PM	84.99	2.125	1.090	1.95	1.92	40.00	230	1.106	-0.018
veqz D	veqz_D	Default	5/19/2015	9:10 PM	138.18	3.455	1.714	2.01	2.29	40.00	230	1.506	-0.003
joxm A	joxm_A	Default	5/22/2015	5:58 PM	183.57	4.589	2.242	2.05	2.05	40.00	230	2.241	0.001
joxm B	joxm_B	Default	5/22/2015	5:58 PM	274.48	6.862	3.365	2.04	2.16	40.00	230	3.182	-0.002
joxm C	joxm_C	Default	5/22/2015	5:59 PM	197.48	4.937	2.393	2.06	2.03	40.00	230	2.433	0.004
joxm D	joxm_D	Default	5/22/2015	6:00 PM	231.35	5.784	2.801	2.07	2.10	40.00	230	2.760	-0.006
bubh A	bubh_A	Default	5/22/2015	6:01 PM	69.28	1.732	0.846	2.05	1.88	40.00	230	0.919	-0.009
bubh B	bubh_B	Default	5/22/2015	6:01 PM	192.75	4.819	2.333	2.07	1.87	40.00	230	2.574	0.001
bubh C	bubh_C	Default	5/22/2015	6:02 PM	89.73	2.243	1.089	2.06	1.68	40.00	230	1.334	-0.002
bubh D	bubh_D	Default	5/22/2015	6:02 PM	51.86	1.297	0.644	2.01	1.76	40.00	230	0.736	-0.001
